"Active","Активно"
"Add HolestPay Status Column","Додај HolestPay Статус Колона"
"Add to Cart","Додај во Кошничка"
"Admin","Администрација"
"All Countries","Сите Земји"
"Allow Specific Countries","Дозволи Специфични Земји"
"Amount","Износ"
"API Configuration","API Конфигурација"
"API Error","API Грешка"
"API Key","API Клуч"
"API Response","API Одговор"
"API URL","API URL"
"Apply","Примени"
"Back","Назад"
"Cancel","Откажи"
"Canceled","Откажано"
"Card Number","Број на Картичка"
"Checkout","Плаќање"
"City","Град"
"Clear Quote","Исчисти Понуда"
"Configuration","Конфигурација"
"Country","Земја"
"Create Order","Креирај Нарачка"
"Credit Card","Кредитна Картичка"
"Currency","Валута"
"Customer","Клиент"
"Database","База на Податоци"
"Debug","Debug"
"Default","Стандардно"
"Delete","Избриши"
"Description","Опис"
"Disabled","Оневозможено"
"Edit","Уреди"
"Email","Email"
"Enabled","Овозможено"
"Environment","Окружување"
"Error","Грешка"
"Failed","Неуспешно"
"First Name","Име"
"Footer Logotypes","Footer Логотипи"
"General","Општо"
"HolestPay","HolestPay"
"HolestPay Configuration","HolestPay Конфигурација"
"HolestPay Order Status","HolestPay Статус на Нарачка"
"HolestPay Payment Gateway","HolestPay Payment Gateway"
"HolestPay Status","HolestPay Статус"
"HolestPay UID","HolestPay UID"
"Install","Инсталирај"
"Invalid","Невалидно"
"Last Name","Презиме"
"Live","Продукција"
"Loading","Вчитување"
"Log","Log"
"Manage All Orders","Управувај со Сите Нарачки"
"Merchant Site UID","Merchant Site UID"
"Message","Порака"
"Minimum Order Total","Минимален Износ на Нарачка"
"Module","Модул"
"Name","Име"
"New Order Status","Нов Статус на Нарачка"
"No","Не"
"Order","Нарачка"
"Order ID","ID на Нарачка"
"Order Status","Статус на Нарачка"
"Order Total","Вкупен Износ на Нарачка"
"Payment","Плаќање"
"Payment Method","Начин на Плаќање"
"Payment Status","Статус на Плаќање"
"Phone","Телефон"
"Please wait...","Ве молиме почекајте..."
"Processing","Обработува се"
"Quantity","Количина"
"Refresh","Освежи"
"Remove","Отстрани"
"Required","Задолжително"
"Save","Зачувај"
"Sandbox","Тест"
"Secret Key","Таен Клуч"
"Select","Избери"
"Settings","Поставки"
"Shipping","Испорака"
"Sort Order","Редослед на Сортирање"
"Specific Countries","Специфични Земји"
"Status","Статус"
"Success","Успешно"
"Title","Наслов"
"Total","Вкупно"
"Uninstall","Деинсталирај"
"Update","Ажурирај"
"View","Преглед"
"Yes","Да"
"Captured amount","Ухватен износ"
"Company Name","Назив на компанија"
"Company Register ID","ID во регистарот на компанија"
"Company Tax ID","Даночен ID на компанија"
"Error in payment request","Грешка во барањето за плаќање. Ве молиме проверете го вашиот email и контактирајте нè!"
"Installments","Рати"
"Installments grace months","Месеци одложување на рати"
"No payment response","Не е примен валиден одговор за плаќање. Можете да обидете се повторно!"
"Ordering as a company?","Нарачувате како компанија?"
"Payment error","Грешка во плаќањето"
"Payment failed","Плаќањето неуспешно"
"Payment failed, you can try again","Плаќањето неуспешно, можете да обидете се повторно..."
"Payment has failed","Плаќањето е неуспешно. Можете да обидете се повторно!"
"Payment refused","Плаќањето одбиено"
"Payment refused, you can try again","Плаќањето одбиено, можете да обидете се повторно..."
"Recurring interval","Интервал на повторување"
"Recurring interval value","Вредност на интервалот на повторување"
"Recurring total payments","Вкупен број на повторувачки плаќања"
"Refunded amount","Износ на враќање"
"Try to pay again","Обидете се повторно да платите..."
"error","Грешка"
"error_contact_us","Грешка, ве молиме контактирајте нè за помош."
"remove_token_confirm","Ве молиме потврдете дека сакате да ја отстраните референцата на токенот за плаќање. Ако имате претплати кај нас, тие можат да бидат прекинати ако не успееме да ви наплатиме за следниот период на наплата."
"result","Резултат"
"Custom Frontend CSS","Прилагоден Frontend CSS"
"Add custom CSS code that will be rendered in the frontend template","Додај прилагоден CSS код кој ќе се прикаже во frontend шаблонот"
"Custom Frontend JS","Прилагоден Frontend JS"
"Add custom JavaScript code that will be rendered in the frontend template","Додај прилагоден JavaScript код кој ќе се прикаже во frontend шаблонот"
"Debug Mode","Режим на Debug"
"Enable detailed logging for debugging purposes. When disabled, only errors will be logged.","Овозможи детално логирање за дебагирање. Кога е оневозможено, само грешките ќе бидат логирани."
