"HolestPay","HolestPay"
"Sandbox","Sandbox"
"Production","Production"
"HolestPay user AJAX endpoint working","HolestPay user AJAX endpoint working"
"HolestPay admin AJAX endpoint working","HolestPay admin AJAX endpoint working"
"Order details","Order details"
"Pay","Pay"
"Use saved card:","Use saved card:"
"-- Use new card --","-- Use new card --"
"Card ending in","Card ending in"
"expires","expires"
"Default","Default"
"Remove","Remove"
"Make Default","Make Default"
"Error","Error"
"Payment Error","Payment Error"
"General error","An error occurred. Please try again."
"Network error","Network error occurred. Please check your connection."
"Server error","Server error occurred. Please try again later."
"Validation error","Please check your input and try again."
"Token removed successfully","Card removed successfully"
"Token set as default","Card set as default successfully"
"Failed to remove token","Failed to remove card"
"Failed to set default token","Failed to set card as default"
"Script loading failed","Failed to load payment system. Please refresh the page."
"Payment system unavailable","Payment system is currently unavailable. Please try again later."
"No payment method selected","Please select a payment method"
"Payment method not available","Selected payment method is not available"
"Invalid payment data","Invalid payment information provided"
"Payment successful","Payment completed successfully"
"Order placed successfully","Your order has been placed successfully"
"Loading payment methods","Loading available payment methods..."
"Initializing payment","Initializing payment system..."
"Processing payment","Processing your payment..."
"Redirecting to payment","Redirecting to payment gateway..."
"Forwarding payment response","Forwarding payment response to site"
"Site response received","Site response received"
"Redirecting to success URL","Redirecting to success URL"
"Using original order URL","Using original order URL"
"No success URL available","No success URL available"
"Error forwarding payment response","Error forwarding payment response"
"Payment Successful!","Payment Successful!"
"Thank you for your order. Your payment has been processed successfully.","Thank you for your order. Your payment has been processed successfully."
"Payment Failed","Payment Failed"
"We're sorry, but your payment could not be processed. Please review the details below and try again.","We're sorry, but your payment could not be processed. Please review the details below and try again."
"Error Code:","Error Code:"
"Error Message:","Error Message:"
"Order Summary","Order Summary"
"Order Number:","Order Number:"
"Order Date:","Order Date:"
"Payment Method:","Payment Method:"
"Order Status:","Order Status:"
"Order Items","Order Items"
"Product","Product"
"SKU","SKU"
"Qty","Qty"
"Price","Price"
"Total","Total"
"Order Totals","Order Totals"
"Subtotal:","Subtotal:"
"Shipping:","Shipping:"
"Tax:","Tax:"
"Discount:","Discount:"
"Grand Total:","Grand Total:"
"Billing Address","Billing Address"
"Shipping Address","Shipping Address"
"Phone: ","Phone: "
"Email: ","Email: "
"Payment Details","Payment Details"
"Transaction ID:","Transaction ID:"
"Payment Status:","Payment Status:"
"View My Orders","View My Orders"
"Continue Shopping","Continue Shopping"
"Try Payment Again","Try Payment Again"
"Return to Homepage","Return to Homepage"
"Order information is not available.","Order information is not available."
"Return to Checkout","Return to Checkout"
"Insert Footer Logotypes","Insert Footer Logotypes"
"Footer Logotypes","Footer Logotypes"
"Card","Card"
"Bank","Bank"
"3DS","3DS"
"Payment Successful - Order Confirmation","Payment Successful - Order Confirmation"
"Your order has been processed successfully. Thank you for your purchase!","Your order has been processed successfully. Thank you for your purchase!"
"Order Details","Order Details"
"Order ID:","Order ID:"
"Order Total:","Order Total:"
"Payment Information","Payment Information"
"Payment Failed - Order Details","Payment Failed - Order Details"
"We're sorry, but your payment could not be processed. Please try again or contact customer support if the problem persists.","We're sorry, but your payment could not be processed. Please try again or contact customer support if the problem persists."
"Error Details","Error Details"
"Return to Cart","Return to Cart"
"Payment Result","Payment Result"
"Order Items","Order Items"
"Billing Address","Billing Address"
"Shipping Address","Shipping Address"
"SKU:","SKU:"
"Qty:","Qty:"
"Phone:","Phone:"
"Order Not Found","Order Not Found"
"The order you are looking for could not be found.","The order you are looking for could not be found."
"Debug Mode","Debug Mode"
"Enable detailed logging for debugging purposes. When disabled, only errors will be logged.","Enable detailed logging for debugging purposes. When disabled, only errors will be logged."
"Referent order not found! Please contact us for assistance.","Referent order not found! Please contact us for assistance."
"The order you are looking for could not be found in our system. This may happen if:","The order you are looking for could not be found in our system. This may happen if:"
"The order ID is incorrect or has been changed","The order ID is incorrect or has been changed"
"The order has been deleted or expired","The order has been deleted or expired"
"You accessed this page directly without completing a payment","You accessed this page directly without completing a payment"
"There was an error during the payment process","There was an error during the payment process"
"Go to My Account","Go to My Account"
"Continue Shopping","Continue Shopping"
"Contact Support","Contact Support"
"N/A","N/A"
"Unnamed Item","Unnamed Item"
"Same as Billing","Same as Billing"
"Order UID","Order UID"
"Authorization Code","Authorization Code"
"Payment Status","Payment Status"
"Transaction Status Code","Transaction Status Code"
"Transaction ID","Transaction ID"
"Transaction Time","Transaction Time"
"Status code for the 3D transaction","Status code for the 3D transaction"
"Amount in order currency","Amount in order currency"
"Amount in payment currency","Amount in payment currency"
"Captured amount","Captured amount"
"Company Name","Company Name"
"Company Register ID","Company Register ID"
"Company Tax ID","Company Tax ID"
"Error in payment request","Error in payment request. Please check your email and contact us!"
"Installments","Installments"
"Installments grace months","Installments grace months"
"No payment response","No valid payment response was received. You can try again!"
"Ordering as a company?","Ordering as a company?"
"Payment error","Payment error"
"Payment failed","Payment failed"
